,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
Original,1.0000000000000002,0.8562452950536852,0.7363820987781352,0.652241750871762,0.5829783518336156,0.5037556233725876
BLUR5,0.8562452950536852,0.9999999999999996,0.9130412022291428,0.8363933298054297,0.7559189946928051,0.6415982276915125
BLUR10,0.7363820987781352,0.9130412022291428,1.0000000000000013,0.9536068222498832,0.8915498782162419,0.7862000658595525
BLUR15,0.652241750871762,0.8363933298054297,0.9536068222498832,1.0,0.9584805554508576,0.8831649523278065
BLUR20,0.5829783518336156,0.7559189946928051,0.8915498782162419,0.9584805554508576,0.9999999999999997,0.9563935203480114
BLUR25,0.5037556233725876,0.6415982276915125,0.7862000658595525,0.8831649523278065,0.9563935203480114,1.0
